Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Kolkata (CCU),Mumbai (BOM),SW 0313,06:15,09:15,Direct,,Daily
Delhi (DEL),Patna (PAT),SW 2103,06:15,07:55,Direct,,Daily
Thiruvananthapuram (TRV),Delhi (DEL),SW 2188,06:15,09:40,Direct,,Daily
Chennai (MAA),Madurai (IXM),SW 7183,06:15,07:40,Direct,,Daily
Jaipur (JAI),Indore (IDR),SW 7744,06:15,07:55,Direct,,Daily
Jaipur (JAI),Nagpur (NAG),SW 7744,06:15,09:30,Via,IDR,Daily
Guwahati (GAU),Delhi (DEL),SW 2339,06:15,09:00,Direct,,Mon Sun
Bengaluru (BLR),Phuket (HKT),SW 1077,06:15,11:35,Direct,,Mon Tue Wed Fri Sat Sun
Bengaluru (BLR),Goa (GOI),SW 0194,06:15,07:35,Direct,,Mon Tue Wed Thu Fri Sun
Kochi (COK),Goa (GOI),SW 0211,06:15,07:30,Direct,,Mon Tue Wed Thu Fri Sun
Kochi (COK),Raipur (RPR),SW 0211,06:15,09:50,Via,GOI,Every Mon Tue Wed Thu Fri Sun
Mumbai (BOM),Ahmedabad (AMD),SW 0446,06:20,07:30,Direct,,Daily
Ahmedabad (AMD),Dehradun (DED),SW 0568,06:20,07:55,Direct,,Daily
Mumbai (BOM),Jakarta (CGK),SW 1601,06:20,14:30,Direct,,Daily
Chennai (MAA),Coimbatore (CJB),SW 6194,06:20,07:30,Direct,,Daily
Indore (IDR),Jaipur (JAI),SW 7274,06:20,07:40,Direct,,Daily
Indore (IDR),Dehradun (DED),SW 7274,06:20,09:20,Via,JAI,Daily
Hyderabad (HYD),Tirupati (TIR),SW 7532,06:20,07:50,Direct,,Mon Tue Wed Thu Sat Sun
Bengaluru (BLR),Indore (IDR),SW 0959,06:20,08:25,Direct,,Tue Thu Sun
Bengaluru (BLR),Jammu (IXJ),SW 0959,06:20,11:10,Via,IDR,Every Tue Thu Sun
Bengaluru (BLR),Ahmedabad (AMD),SW 0586,06:25,08:55,Direct,,Daily
Ahmedabad (AMD),Indore (IDR),SW 7173,06:25,07:35,Direct,,Daily
Goa (GOI),Mumbai (BOM),SW 6569,06:25,07:50,Direct,,Daily
Delhi (DEL),Dibrugarh (DIB),SW 2031,06:25,09:00,Direct,,Daily
Delhi (DEL),Jaipur (JAI),SW 5037,06:25,07:15,Direct,,Daily
Pune (PNQ),Hyderabad (HYD),SW 0352,06:25,07:35,Direct,,Daily
Chennai (MAA),Visakhapatnam (VTZ),SW 0557,06:25,07:45,Direct,,Daily
Mumbai (BOM),Nagpur (NAG),SW 5124,06:25,07:55,Direct,,Mon Tue Wed Thu Sun
Ahmedabad (AMD),Jaipur (JAI),SW 7114,06:30,08:05,Direct,,Daily
Bengaluru (BLR),Bhopal (BHO),SW 0368,06:30,08:50,Direct,,Daily
Kolkata (CCU),Bengaluru (BLR),SW 0771,06:30,09:05,Direct,,Daily
Hyderabad (HYD),Mumbai (BOM),SW 5115,06:30,08:15,Direct,,Daily
Delhi (DEL),Phuket (HKT),SW 1073,06:30,12:30,Direct,,Daily
Delhi (DEL),Hyderabad (HYD),SW 2069,06:30,08:40,Direct,,Daily
Thiruvananthapuram (TRV),Hyderabad (HYD),SW 0160,06:30,08:15,Direct,,Daily
Chennai (MAA),Singapore (SIN),SW 1025,06:30,13:20,Direct,,Daily
Bengaluru (BLR),Hubli (HBX),SW 7227,06:35,08:05,Direct,,Daily
Mumbai (BOM),Chennai (MAA),SW 5107,06:35,08:35,Direct,,Daily
Coimbatore (CJB),Chennai (MAA),SW 0339,06:35,07:35,Direct,,Daily
Hyderabad (HYD),Kannur (CNN),SW 7225,06:35,08:45,Direct,,Daily
Lucknow (LKO),Ahmedabad (AMD),SW 0142,06:40,08:40,Direct,,Daily
Bengaluru (BLR),Bangkok (BKK),SW 1055,06:40,12:05,Direct,,Daily
Mumbai (BOM),Indore (IDR),SW 0294,06:40,08:00,Direct,,Daily
Indore (IDR),Mumbai (BOM),SW 2053,06:40,08:05,Direct,,Daily
Kolkata (CCU),Raipur (RPR),SW 0139,06:40,08:05,Direct,,Daily
Delhi (DEL),Istanbul (IST),SW 0011,06:40,11:15,Direct,,Daily
