Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Chennai (MAA),Delhi (DEL),SW 2015,04:30,07:30,Direct,,Daily
Bengaluru (BLR),Pune (PNQ),SW 0408,05:15,06:45,Direct,,Mon Wed Fri Sun
Chennai (MAA),Bhubaneshwar (BBI),SW 0288,06:10,07:55,Direct,,Daily
Kolkata (CCU),Dhaka (DAC),SW 1107,06:30,08:00,Direct,,Daily
Delhi (DEL),Srinagar (SXR),SW 2641,06:45,08:15,Direct,,Daily
Bengaluru (BLR),Chennai (MAA),SW 6269,07:00,08:00,Direct,,Daily
Pune (PNQ),Bengaluru (BLR),SW 0391,07:25,08:55,Direct,,Mon Wed Fri Sun
Bhubaneshwar (BBI),Chennai (MAA),SW 0141,08:25,10:15,Direct,,Mon Tue Wed Fri Sat Sun
Kolkata (CCU),Aizawl (AJL),SW 6941,08:35,09:45,Direct,,Daily
Hyderabad (HYD),Ranchi (IXR),SW 0421,08:35,10:20,Direct,,Daily
Kolkata (CCU),Dimapur (DMU),SW 6339,08:45,10:05,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2221,08:55,10:30,Direct,,Daily
Dhaka (DAC),Kolkata (CCU),SW 1108,09:00,09:35,Direct,,Daily
Aizawl (AJL),Kolkata (CCU),SW 0433,10:15,11:25,Direct,,Daily
Delhi (DEL),Hollongi (HGI),SW 5927,10:15,12:50,Direct,,Mon Tue
Dimapur (DMU),Kolkata (CCU),SW 6155,10:35,12:05,Direct,,Daily
Delhi (DEL),Bhopal (BHO),SW 2433,11:20,12:35,Direct,,Daily
Delhi (DEL),Jammu (IXJ),SW 2609,12:00,13:35,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Srinagar (SXR),SW 2609,12:00,14:45,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Delhi (DEL),SW 2609,12:00,17:05,Via,IXJ/SXR,Every Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Tirupati (TIR),SW 2005,12:05,13:10,Direct,,Daily
Delhi (DEL),Srinagar (SXR),SW 2044,12:40,14:15,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Jammu (IXJ),SW 2044,12:40,15:50,Via,SXR,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Delhi (DEL),SW 2044,12:40,17:50,Via,SXR/IXJ,Every Mon Tue Thu Fri Sat Sun
Bhopal (BHO),Delhi (DEL),SW 5083,13:05,14:25,Direct,,Daily
Chennai (MAA),Dhaka (DAC),SW 1113,13:20,16:25,Direct,,Daily
Hollongi (HGI),Delhi (DEL),SW 5928,13:25,16:35,Direct,,Mon Tue
Mumbai (BOM),Jammu (IXJ),SW 0559,13:25,16:00,Direct,,Mon Tue Thu Fri Sat Sun
Mumbai (BOM),Srinagar (SXR),SW 0559,13:25,17:15,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Srinagar (SXR),SW 6253,13:30,16:25,Direct,,Daily
Tirupati (TIR),Hyderabad (HYD),SW 6606,13:40,14:45,Direct,,Daily
Gorakhpur (GOP),Hyderabad (HYD),SW 6319,14:05,16:05,Direct,,Daily
Gorakhpur (GOP),Bengaluru (BLR),SW 6319,14:05,17:55,Via,HYD,Daily
Kolkata (CCU),Chandigarh (IXC),SW 0874,14:05,16:40,Direct,,Daily
Kolkata (CCU),Srinagar (SXR),SW 0874,14:05,18:20,Via,IXC,Daily
Jammu (IXJ),Srinagar (SXR),SW 2609,14:05,14:45,Direct,,Mon Tue Thu Fri Sat Sun
Jammu (IXJ),Delhi (DEL),SW 2609,14:05,17:05,Via,SXR,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Srinagar (SXR),SW 5106,14:35,16:00,Direct,,Daily
Srinagar (SXR),Jammu (IXJ),SW 2044,14:55,15:50,Direct,,Mon Tue Thu Fri Sat Sun
Srinagar (SXR),Delhi (DEL),SW 2044,14:55,17:50,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Kolkata (CCU),Srinagar (SXR),SW 6961,15:00,18:15,Direct,,Daily
Delhi (DEL),Srinagar (SXR),SW 5084,15:20,17:00,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2609,15:25,17:05,Direct,,Mon Tue Thu Fri Sat Sun
Srinagar (SXR),Delhi (DEL),SW 5070,16:30,17:55,Direct,,Daily
Jammu (IXJ),Delhi (DEL),SW 2044,16:30,17:50,Direct,,Mon Tue Thu Fri Sat Sun
Jammu (IXJ),Srinagar (SXR),SW 0559,16:35,17:15,Direct,,Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Bengaluru (BLR),SW 6319,16:50,17:55,Direct,,Daily
Hyderabad (HYD),Chennai (MAA),SW 0668,17:00,18:20,Direct,,Daily
Chandigarh (IXC),Srinagar (SXR),SW 0874,17:10,18:20,Direct,,Daily
Srinagar (SXR),Hyderabad (HYD),SW 6255,17:10,20:05,Direct,,Daily
Hyderabad (HYD),Visakhapatnam (VTZ),SW 0208,17:10,18:20,Direct,,Daily
Dhaka (DAC),Chennai (MAA),SW 1114,17:25,19:45,Direct,,Daily
Kolkata (CCU),Indore (IDR),SW 0798,17:30,19:55,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2197,17:40,19:15,Direct,,Daily
Srinagar (SXR),Jammu (IXJ),SW 0431,17:50,18:50,Direct,,Mon Tue Thu Fri Sat Sun
Srinagar (SXR),Mumbai (BOM),SW 0431,17:50,22:20,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Jammu (IXJ),SW 5050,18:10,19:40,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Srinagar (SXR),SW 2448,18:30,20:00,Direct,,Daily
Bengaluru (BLR),Hyderabad (HYD),SW 0638,18:50,20:15,Direct,,Daily
Hyderabad (HYD),Ranchi (IXR),SW 0186,18:50,20:30,Direct,,Daily
Srinagar (SXR),Kolkata (CCU),SW 6962,18:55,21:40,Direct,,Daily
Srinagar (SXR),Chandigarh (IXC),SW 6041,19:00,19:50,Direct,,Daily
Srinagar (SXR),Kolkata (CCU),SW 6041,19:00,22:45,Via,IXC,Daily
Visakhapatnam (VTZ),Hyderabad (HYD),SW 0216,19:00,20:15,Direct,,Daily
Jammu (IXJ),Mumbai (BOM),SW 0431,19:25,22:20,Direct,,Mon Tue Thu Fri Sat Sun
Chennai (MAA),Thiruvananthapuram (TRV),SW 6149,19:35,20:55,Direct,,Daily
Delhi (DEL),Pune (PNQ),SW 2607,20:10,22:25,Direct,,Mon Tue Wed
Delhi (DEL),Bhubaneshwar (BBI),SW 2201,20:15,22:20,Direct,,Daily
Jammu (IXJ),Delhi (DEL),SW 2527,20:15,21:35,Direct,,Mon Tue Thu Fri Sat Sun
Indore (IDR),Kolkata (CCU),SW 6566,20:25,22:25,Direct,,Daily
Chandigarh (IXC),Kolkata (CCU),SW 6041,20:35,22:45,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2449,20:40,22:05,Direct,,Daily
Ranchi (IXR),Hyderabad (HYD),SW 0191,21:10,23:05,Direct,,Daily
Thiruvananthapuram (TRV),Chennai (MAA),SW 6959,21:25,22:40,Direct,,Daily
Hyderabad (HYD),Delhi (DEL),SW 2256,21:30,23:45,Direct,,Daily
Bhubaneshwar (BBI),Delhi (DEL),SW 2202,22:50,01:20,Direct,,Daily
Pune (PNQ),Delhi (DEL),SW 2278,23:05,01:20,Direct,,Mon Tue Wed
Chennai (MAA),Bengaluru (BLR),SW 0796,23:10,00:15,Direct,,Daily
Bengaluru (BLR),Pune (PNQ),SW 0408,05:15,06:45,Direct,,Tue Thu Sat
Pune (PNQ),Bengaluru (BLR),SW 0391,07:25,08:55,Direct,,Tue Thu Sat
Mumbai (BOM),Deoghar (DGH),SW 0535,10:15,12:35,Direct,,Tue Thu Sat
Deoghar (DGH),Mumbai (BOM),SW 0536,13:25,16:10,Direct,,Tue Thu Sat
Tiruchirappalli (TRZ),Mumbai (BOM),SW 0592,13:55,16:10,Direct,,Tue Thu Sat
Varanasi (VNS),Lucknow (LKO),SW 7739,15:45,16:45,Direct,,Tue Thu Sat
Jodhpur (JDH),Ahmedabad (AMD),SW 7075,09:05,10:30,Direct,,Wed
Ahmedabad (AMD),Jaipur (JAI),SW 7145,10:35,12:05,Direct,,Wed
Delhi (DEL),Chandigarh (IXC),SW 2609,12:00,12:55,Direct,,Wed
Delhi (DEL),Srinagar (SXR),SW 2609,12:00,14:45,Via,IXC,Every Wed
Delhi (DEL),Delhi (DEL),SW 2609,12:00,17:05,Via,IXC/SXR,Every Wed
Delhi (DEL),Srinagar (SXR),SW 2044,12:40,14:15,Direct,,Wed
Delhi (DEL),Chandigarh (IXC),SW 2044,12:40,16:05,Via,SXR,Every Wed
Delhi (DEL),Delhi (DEL),SW 2044,12:40,17:50,Via,SXR/IXC,Every Wed
Mumbai (BOM),Srinagar (SXR),SW 0559,13:25,16:05,Direct,,Wed
Chandigarh (IXC),Srinagar (SXR),SW 2609,13:40,14:45,Direct,,Wed
Chandigarh (IXC),Delhi (DEL),SW 2609,13:40,17:05,Via,SXR,Every Wed
Delhi (DEL),Hyderabad (HYD),SW 5198,14:00,16:20,Direct,,Daily
Srinagar (SXR),Chandigarh (IXC),SW 2044,14:55,16:05,Direct,,Wed
Srinagar (SXR),Delhi (DEL),SW 2044,14:55,17:50,Via,IXC,Every Wed
Srinagar (SXR),Delhi (DEL),SW 2609,15:25,17:05,Direct,,Wed
Srinagar (SXR),Mumbai (BOM),SW 0431,16:45,19:50,Direct,,Wed
Chandigarh (IXC),Delhi (DEL),SW 2044,16:50,17:50,Direct,,Wed
Hyderabad (HYD),Delhi (DEL),SW 2312,17:05,19:25,Direct,,Daily
Goa (GOI),Ahmedabad (AMD),SW 0281,21:05,22:45,Direct,,Wed
Delhi (DEL),Indore (IDR),SW 6212,05:00,06:30,Direct,,Daily
Kolkata (CCU),Chennai (MAA),SW 0344,05:15,07:30,Direct,,Thu
Delhi (DEL),Visakhapatnam (VTZ),SW 5345,05:55,08:10,Direct,,Daily
Indore (IDR),Delhi (DEL),SW 5126,07:00,08:30,Direct,,Daily
Bengaluru (BLR),Kochi (COK),SW 0113,09:00,10:10,Direct,,Daily
Visakhapatnam (VTZ),Delhi (DEL),SW 5344,09:00,11:25,Direct,,Daily
Kochi (COK),Kolkata (CCU),SW 0198,09:00,11:50,Direct,,Mon Tue Thu Fri Sat Sun
Kochi (COK),Guwahati (GAU),SW 0198,09:00,13:40,Via,CCU,Every Mon Tue Thu Fri Sat Sun
Bengaluru (BLR),Thiruvananthapuram (TRV),SW 0688,09:05,10:25,Direct,,Daily
Delhi (DEL),Hollongi (HGI),SW 5927,10:15,12:50,Direct,,Mon Tue Thu Sat
Kochi (COK),Bengaluru (BLR),SW 0897,10:40,11:50,Direct,,Daily
Kochi (COK),Varanasi (VNS),SW 0897,10:40,14:55,Via,BLR,Daily
Thiruvananthapuram (TRV),Bengaluru (BLR),SW 0661,10:55,12:10,Direct,,Daily
Bengaluru (BLR),Varanasi (VNS),SW 0897,12:30,14:55,Direct,,Daily
Kolkata (CCU),Guwahati (GAU),SW 0198,12:30,13:40,Direct,,Mon Tue Thu Fri Sat Sun
Bengaluru (BLR),Surat (STV),SW 0465,12:50,14:50,Direct,,Daily
Hollongi (HGI),Delhi (DEL),SW 5928,13:25,16:35,Direct,,Mon Tue Thu Sat
Surat (STV),Goa (GOI),SW 0419,15:20,16:40,Direct,,Daily
Varanasi (VNS),Bengaluru (BLR),SW 0144,15:30,17:55,Direct,,Daily
Varanasi (VNS),Kochi (COK),SW 0144,15:30,19:45,Via,BLR,Daily
Guwahati (GAU),Kolkata (CCU),SW 0264,15:35,17:00,Direct,,Mon Tue Thu Fri Sat Sun
Guwahati (GAU),Kochi (COK),SW 0264,15:35,20:40,Via,CCU,Every Mon Tue Thu Fri Sat Sun
Goa (GOI),Surat (STV),SW 0418,17:10,18:30,Direct,,Daily
Kolkata (CCU),Kochi (COK),SW 0264,17:40,20:40,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Ranchi (IXR),SW 5339,18:00,19:50,Direct,,Daily
Bengaluru (BLR),Kochi (COK),SW 0144,18:40,19:45,Direct,,Daily
Surat (STV),Bengaluru (BLR),SW 5034,19:05,20:55,Direct,,Daily
Delhi (DEL),Pune (PNQ),SW 2607,20:10,22:25,Direct,,Daily
Kochi (COK),Bengaluru (BLR),SW 6922,20:20,21:25,Direct,,Daily
Ranchi (IXR),Delhi (DEL),SW 6031,20:20,22:20,Direct,,Daily
Pune (PNQ),Delhi (DEL),SW 2278,23:05,01:20,Direct,,Daily
Mumbai (BOM),Jeddah (JED),SW 0091,00:55,04:15,Direct,,Fri
Delhi (DEL),Aizawl (AJL),SW 5363,10:15,12:45,Direct,,Wed Fri Sun
Aizawl (AJL),Delhi (DEL),SW 5364,13:20,16:15,Direct,,Wed Fri Sun
Bengaluru (BLR),Bhopal (BHO),SW 0368,06:40,08:50,Direct,,Daily
Kolkata (CCU),Ahmedabad (AMD),SW 0135,13:30,16:25,Direct,,Sat
Kolkata (CCU),Pune (PNQ),SW 0135,13:30,18:15,Via,AMD,Every Sat
Ahmedabad (AMD),Pune (PNQ),SW 0135,17:00,18:15,Direct,,Sat
Pune (PNQ),Kolkata (CCU),SW 6561,18:55,21:20,Direct,,Sat
Jodhpur (JDH),Jaipur (JAI),SW 7406,09:05,10:10,Direct,,Daily
Ahmedabad (AMD),Jaipur (JAI),SW 7145,10:30,12:05,Direct,,Daily
Jaipur (JAI),Jodhpur (JDH),SW 7405,10:30,11:35,Direct,,Daily
Jodhpur (JDH),Ahmedabad (AMD),SW 7075,11:55,13:20,Direct,,Daily
Delhi (DEL),Jammu (IXJ),SW 2609,12:00,13:35,Direct,,Mon Tue Wed Thu Fri Sat
Delhi (DEL),Srinagar (SXR),SW 2609,12:00,14:45,Via,IXJ,Every Mon Tue Wed Thu Fri Sat
Delhi (DEL),Delhi (DEL),SW 2609,12:00,17:05,Via,IXJ/SXR,Every Mon Tue Wed Thu Fri Sat
Delhi (DEL),Srinagar (SXR),SW 2044,12:40,14:15,Direct,,Daily
Delhi (DEL),Jammu (IXJ),SW 2044,12:40,15:50,Via,SXR,Daily
Delhi (DEL),Delhi (DEL),SW 2044,12:40,17:50,Via,SXR/IXJ,Daily
Mumbai (BOM),Jammu (IXJ),SW 0559,13:25,16:00,Direct,,Mon Tue Wed Thu Fri Sat
Mumbai (BOM),Srinagar (SXR),SW 0559,13:25,17:15,Via,IXJ,Every Mon Tue Wed Thu Fri Sat
Mumbai (BOM),Jodhpur (JDH),SW 5256,13:25,15:05,Direct,,Mon Tue Wed Thu Fri Sun
Jammu (IXJ),Srinagar (SXR),SW 2609,14:05,14:45,Direct,,Mon Tue Wed Thu Fri Sat
Jammu (IXJ),Delhi (DEL),SW 2609,14:05,17:05,Via,SXR,Every Mon Tue Wed Thu Fri Sat
Srinagar (SXR),Jammu (IXJ),SW 2044,14:55,15:50,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2044,14:55,17:50,Via,IXJ,Daily
Hyderabad (HYD),Jodhpur (JDH),SW 0297,14:55,17:00,Direct,,Mon Tue Thu Fri Sun
Srinagar (SXR),Delhi (DEL),SW 2609,15:25,17:05,Direct,,Mon Tue Wed Thu Fri Sat
Jodhpur (JDH),Mumbai (BOM),SW 5257,15:35,17:25,Direct,,Mon Tue Wed Thu Fri Sun
Jammu (IXJ),Delhi (DEL),SW 2044,16:30,17:50,Direct,,Daily
Jammu (IXJ),Srinagar (SXR),SW 0559,16:35,17:15,Direct,,Mon Tue Wed Thu Fri Sat
Jodhpur (JDH),Hyderabad (HYD),SW 6816,17:30,19:25,Direct,,Mon Tue Wed Thu Fri Sun
Srinagar (SXR),Jammu (IXJ),SW 0431,17:50,18:50,Direct,,Mon Tue Wed Thu Fri Sat
Srinagar (SXR),Mumbai (BOM),SW 0431,17:50,22:20,Via,IXJ,Every Mon Tue Wed Thu Fri Sat
Delhi (DEL),Jammu (IXJ),SW 5050,18:10,19:40,Direct,,Daily
Jammu (IXJ),Mumbai (BOM),SW 0431,19:25,22:20,Direct,,Mon Tue Wed Thu Fri Sat
Jammu (IXJ),Delhi (DEL),SW 2527,20:15,21:35,Direct,,Daily
Kochi (COK),Kolkata (CCU),SW 0198,09:00,11:50,Direct,,Wed
Kochi (COK),Ranchi (IXR),SW 0198,09:00,13:40,Via,CCU,Every Wed
Kolkata (CCU),Ranchi (IXR),SW 0198,12:30,13:40,Direct,,Wed
Ranchi (IXR),Kolkata (CCU),SW 0264,15:00,16:05,Direct,,Wed
Ranchi (IXR),Kochi (COK),SW 0264,15:00,20:40,Via,CCU,Every Wed
Kolkata (CCU),Kochi (COK),SW 0264,17:40,20:40,Direct,,Wed
Delhi (DEL),Kannur (CNN),SW 0358,22:10,01:20,Direct,,Daily
Bhubaneshwar (BBI),Delhi (DEL),SW 0806,22:50,01:20,Direct,,Daily
Kannur (CNN),Delhi (DEL),SW 2173,06:20,09:25,Direct,,Daily
Delhi (DEL),Rajahmundry (RJA),SW 0364,07:30,09:45,Direct,,Daily
Rajahmundry (RJA),Delhi (DEL),SW 0363,10:30,13:00,Direct,,Daily
Delhi (DEL),Darbhanga (DBR),SW 0360,14:20,16:05,Direct,,Daily
Darbhanga (DBR),Delhi (DEL),SW 0370,16:45,18:50,Direct,,Daily
Mumbai (BOM),Udaipur (UDR),SW 5256,13:25,14:55,Direct,,Sat
Hyderabad (HYD),Udaipur (UDR),SW 0297,14:55,16:40,Direct,,Sat
Udaipur (UDR),Mumbai (BOM),SW 5257,15:55,17:25,Direct,,Sat
Udaipur (UDR),Hyderabad (HYD),SW 6816,17:45,19:25,Direct,,Sat
Chandigarh (IXC),Hyderabad (HYD),SW 0867,06:20,08:45,Direct,,Sun
Hyderabad (HYD),Goa (GOI),SW 0467,09:25,10:45,Direct,,Sun
Goa (GOI),Hyderabad (HYD),SW 0468,11:20,12:25,Direct,,Sun
Delhi (DEL),Jammu (IXJ),SW 2609,12:00,13:35,Direct,,Sun
Hyderabad (HYD),Chandigarh (IXC),SW 0108,13:15,15:50,Direct,,Sun
Mumbai (BOM),Jammu (IXJ),SW 0559,13:25,16:00,Direct,,Sun
Hyderabad (HYD),Jammu (IXJ),SW 6253,13:30,16:15,Direct,,Sun
Goa (GOI),Nagpur (NAG),SW 7467,14:05,18:05,Via,ISK,Every Mon Wed Fri Sun
Kolkata (CCU),Chandigarh (IXC),SW 0874,14:05,16:40,Direct,,Sun
Delhi (DEL),Amritsar (ATQ),SW 5106,14:35,15:35,Direct,,Sun
Jammu (IXJ),Delhi (DEL),SW 2247,14:35,15:55,Direct,,Sun
Delhi (DEL),Ahmedabad (AMD),SW 5084,15:10,17:00,Direct,,Sun
Amritsar (ATQ),Delhi (DEL),SW 5070,16:25,17:40,Direct,,Sun
Jammu (IXJ),Mumbai (BOM),SW 0431,16:45,19:50,Direct,,Sun
Jammu (IXJ),Hyderabad (HYD),SW 6255,17:05,20:05,Direct,,Sun
Chandigarh (IXC),Kolkata (CCU),SW 6041,17:20,19:30,Direct,,Sun
Ahmedabad (AMD),Delhi (DEL),SW 2197,17:40,19:15,Direct,,Sun
Nagpur (NAG),Hyderabad (HYD),SW 7479,18:25,19:55,Direct,,Daily
Delhi (DEL),Bhopal (BHO),SW 2448,18:30,19:50,Direct,,Sun
Bhopal (BHO),Delhi (DEL),SW 2449,20:30,22:05,Direct,,Sun
Indore (IDR),Jaipur (JAI),SW 7274,06:20,07:40,Direct,,Daily
Delhi (DEL),Indore (IDR),SW 2180,07:20,08:50,Direct,,Daily
Delhi (DEL),Guwahati (GAU),SW 2251,07:30,09:45,Direct,,Daily
Indore (IDR),Udaipur (UDR),SW 7424,07:40,08:40,Direct,,Mon Wed Fri Sun
Hyderabad (HYD),Nagpur (NAG),SW 7478,07:50,09:25,Direct,,Daily
Kolkata (CCU),Agartala (IXA),SW 0713,08:10,09:10,Direct,,Daily
Kolkata (CCU),Bhubaneshwar (BBI),SW 7623,08:40,10:10,Direct,,Daily
Udaipur (UDR),Indore (IDR),SW 7438,09:15,10:20,Direct,,Mon Wed Fri Sun
Indore (IDR),Delhi (DEL),SW 2181,09:20,10:50,Direct,,Daily
Jaipur (JAI),Indore (IDR),SW 7154,09:20,10:50,Direct,,Daily
Kolkata (CCU),Dehradun (DED),SW 0201,09:35,12:10,Direct,,Mon Wed Fri Sun
Nagpur (NAG),Goa (GOI),SW 7462,09:45,13:40,Via,ISK,Every Mon Wed Fri Sun
Agartala (IXA),Kolkata (CCU),SW 0663,09:55,11:05,Direct,,Daily
Indore (IDR),Shirdi (SAG),SW 7439,10:40,12:00,Direct,,Daily
Indore (IDR),Vijayawada (VGA),SW 7439,10:40,14:25,Via,SAG,Daily
Indore (IDR),Tirupati (TIR),SW 7439,10:40,16:00,Via,SAG/VGA,Daily
Bhubaneshwar (BBI),Varanasi (VNS),SW 7035,10:40,12:35,Direct,,Mon Wed Fri Sun
Guwahati (GAU),Delhi (DEL),SW 5203,10:45,13:40,Direct,,Daily
Indore (IDR),Lucknow (LKO),SW 7127,11:10,13:05,Direct,,Daily
Chandigarh (IXC),Patna (PAT),SW 6394,11:30,13:15,Direct,,Mon Tue Wed Thu Fri Sat
Delhi (DEL),Jammu (IXJ),SW 2609,12:00,13:35,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Srinagar (SXR),SW 2609,12:00,14:45,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Delhi (DEL),SW 2609,12:00,17:05,Via,IXJ/SXR,Every Mon Tue Thu Fri Sat Sun
Shirdi (SAG),Vijayawada (VGA),SW 7439,12:20,14:25,Direct,,Daily
Shirdi (SAG),Tirupati (TIR),SW 7439,12:20,16:00,Via,VGA,Daily
Delhi (DEL),Srinagar (SXR),SW 2044,12:40,14:15,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Jammu (IXJ),SW 2044,12:40,15:50,Via,SXR,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Delhi (DEL),SW 2044,12:40,17:50,Via,SXR/IXJ,Every Mon Tue Thu Fri Sat Sun
Varanasi (VNS),Bhubaneshwar (BBI),SW 7036,13:10,15:00,Direct,,Mon Wed Fri Sun
Mumbai (BOM),Jodhpur (JDH),SW 5256,13:25,15:05,Direct,,Daily
Lucknow (LKO),Indore (IDR),SW 7412,13:25,15:30,Direct,,Daily
Mumbai (BOM),Jammu (IXJ),SW 0559,13:25,16:00,Direct,,Mon Tue Thu Fri Sat Sun
Mumbai (BOM),Srinagar (SXR),SW 0559,13:25,17:15,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Srinagar (SXR),SW 6253,13:30,16:25,Direct,,Daily
Patna (PAT),Chandigarh (IXC),SW 6485,13:55,15:50,Direct,,Mon Tue Wed Thu Fri Sat
Kolkata (CCU),Chandigarh (IXC),SW 0874,14:05,16:40,Direct,,Daily
Kolkata (CCU),Srinagar (SXR),SW 0874,14:05,18:20,Via,IXC,Daily
Jammu (IXJ),Srinagar (SXR),SW 2609,14:05,14:45,Direct,,Mon Tue Thu Fri Sat Sun
Jammu (IXJ),Delhi (DEL),SW 2609,14:05,17:05,Via,SXR,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Srinagar (SXR),SW 5106,14:35,16:00,Direct,,Daily
Vijayawada (VGA),Tirupati (TIR),SW 7439,14:45,16:00,Direct,,Daily
Srinagar (SXR),Jammu (IXJ),SW 2044,14:55,15:50,Direct,,Mon Tue Thu Fri Sat Sun
Srinagar (SXR),Delhi (DEL),SW 2044,14:55,17:50,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Jodhpur (JDH),SW 0297,14:55,17:00,Direct,,Mon Tue Thu Fri Sat Sun
Kolkata (CCU),Srinagar (SXR),SW 6961,15:00,18:15,Direct,,Daily
Delhi (DEL),Srinagar (SXR),SW 5084,15:20,17:00,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2609,15:25,17:05,Direct,,Mon Tue Thu Fri Sat Sun
Jodhpur (JDH),Mumbai (BOM),SW 5257,15:35,17:25,Direct,,Daily
Indore (IDR),Jaipur (JAI),SW 7468,16:10,17:30,Direct,,Daily
Indore (IDR),Dehradun (DED),SW 7468,16:10,19:10,Via,JAI,Daily
Srinagar (SXR),Delhi (DEL),SW 5070,16:30,17:55,Direct,,Daily
Jammu (IXJ),Delhi (DEL),SW 2044,16:30,17:50,Direct,,Mon Tue Thu Fri Sat Sun
Jammu (IXJ),Srinagar (SXR),SW 0559,16:35,17:15,Direct,,Mon Tue Thu Fri Sat Sun
Chandigarh (IXC),Srinagar (SXR),SW 0874,17:10,18:20,Direct,,Daily
Srinagar (SXR),Hyderabad (HYD),SW 6255,17:10,20:05,Direct,,Daily
Jodhpur (JDH),Hyderabad (HYD),SW 6816,17:30,19:25,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2197,17:40,19:15,Direct,,Daily
Jaipur (JAI),Dehradun (DED),SW 7468,17:50,19:10,Direct,,Daily
Srinagar (SXR),Jammu (IXJ),SW 0431,17:50,18:50,Direct,,Mon Tue Thu Fri Sat Sun
Srinagar (SXR),Mumbai (BOM),SW 0431,17:50,22:20,Via,IXJ,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Jammu (IXJ),SW 5050,18:10,19:40,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Srinagar (SXR),SW 2448,18:30,20:00,Direct,,Daily
Srinagar (SXR),Kolkata (CCU),SW 6962,18:55,21:40,Direct,,Daily
Srinagar (SXR),Chandigarh (IXC),SW 6041,19:00,19:50,Direct,,Daily
Srinagar (SXR),Kolkata (CCU),SW 6041,19:00,22:45,Via,IXC,Daily
Jammu (IXJ),Mumbai (BOM),SW 0431,19:25,22:20,Direct,,Mon Tue Thu Fri Sat Sun
Jammu (IXJ),Delhi (DEL),SW 2527,20:15,21:35,Direct,,Mon Tue Thu Fri Sat Sun
Chandigarh (IXC),Kolkata (CCU),SW 6041,20:35,22:45,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2449,20:40,22:05,Direct,,Daily
Kolkata (CCU),Amritsar (ATQ),SW 0201,09:35,12:25,Direct,,Tue Thu Sat
Nagpur (NAG),Aurangabad (IXU),SW 7462,09:45,11:05,Direct,,Tue Thu Sat
Nagpur (NAG),Goa (GOI),SW 7462,09:45,13:40,Via,IXU,Every Tue Thu Sat
Bhubaneshwar (BBI),Prayagraj (IXD),SW 7265,10:40,12:35,Direct,,Tue Thu Sat
Aurangabad (IXU),Goa (GOI),SW 7462,11:40,13:40,Direct,,Tue Thu Sat
Prayagraj (IXD),Bhubaneshwar (BBI),SW 7266,12:55,14:50,Direct,,Tue Thu Sat
Goa (GOI),Aurangabad (IXU),SW 7467,14:05,16:05,Direct,,Tue Thu Sat
Goa (GOI),Nagpur (NAG),SW 7467,14:05,18:05,Via,IXU,Every Tue Thu Sat
Aurangabad (IXU),Nagpur (NAG),SW 7467,16:35,18:05,Direct,,Tue Thu Sat
Delhi (DEL),Chandigarh (IXC),SW 2609,12:00,12:55,Direct,,Wed
Delhi (DEL),Srinagar (SXR),SW 2609,12:00,14:45,Via,IXC,Every Wed
Delhi (DEL),Delhi (DEL),SW 2609,12:00,17:05,Via,IXC/SXR,Every Wed
Delhi (DEL),Srinagar (SXR),SW 2044,12:40,14:15,Direct,,Wed
Delhi (DEL),Chandigarh (IXC),SW 2044,12:40,16:05,Via,SXR,Every Wed
Delhi (DEL),Delhi (DEL),SW 2044,12:40,17:50,Via,SXR/IXC,Every Wed
